Unnamed: 0,計,男,女,計.1,男.1,女.1,％,計.2,男.2,女.2,％.1,計.3,男.3,女.3,％.2,計.4,男.4,女.4,％.3,計.5,男.5,女.5,％.4,計.6,男.6,女.6,％.5,計.7,男.7,女.7,％.6
總    計,23492074.0,11712047.0,11780027.0,1052455.0,545209.0,507246.0,4.48,1417380.0,735193.0,682187.0,6.03,2457079.0,1278809.0,1178270.0,10.46,2684539.0,1397993.0,1286546.0,11.43,1586278.0,827755.0,758523.0,6.75,18804459.0,9270457.0,9534002.0,80.05,2938579.0,1361140.0,1577439.0,12.51
新北市,3970644.0,1951355.0,2019289.0,170892.0,88554.0,82338.0,4.3,231028.0,119858.0,111170.0,5.82,400990.0,208662.0,192328.0,10.1,437074.0,227637.0,209437.0,11.01,255549.0,132958.0,122591.0,6.44,3208355.0,1554744.0,1653611.0,80.8,429175.0,199151.0,230024.0,10.81
臺北市,2704810.0,1295462.0,1409348.0,149643.0,76979.0,72664.0,5.53,193390.0,99685.0,93705.0,7.15,303005.0,157140.0,145865.0,11.2,326440.0,169335.0,157105.0,12.07,159837.0,83345.0,76492.0,5.91,2180616.0,1023393.0,1157223.0,80.62,399182.0,181035.0,218147.0,14.76
桃園市,2105780.0,1053001.0,1052779.0,104442.0,54068.0,50374.0,4.96,141964.0,73624.0,68340.0,6.74,251318.0,130975.0,120343.0,11.93,274954.0,143398.0,131556.0,13.06,162058.0,84740.0,77318.0,7.7,1629539.0,804572.0,824967.0,77.38,203630.0,96992.0,106638.0,9.67
臺中市,2744445.0,1357014.0,1387431.0,136445.0,70714.0,65731.0,4.97,183928.0,95540.0,88388.0,6.7,317724.0,165062.0,152662.0,11.58,346533.0,180110.0,166423.0,12.63,203270.0,105640.0,97630.0,7.41,2140881.0,1043388.0,1097493.0,78.01,282316.0,131412.0,150904.0,10.29
臺南市,1885541.0,943804.0,941737.0,79221.0,41047.0,38174.0,4.2,106853.0,55426.0,51427.0,5.67,185403.0,96326.0,89077.0,9.83,202581.0,105347.0,97234.0,10.74,120732.0,63117.0,57615.0,6.4,1529637.0,758361.0,771276.0,81.12,246794.0,113073.0,133721.0,13.09
高雄市,2778918.0,1380989.0,1397929.0,112439.0,58292.0,54147.0,4.05,152182.0,78765.0,73417.0,5.48,267619.0,138883.0,128736.0,9.63,293190.0,152107.0,141083.0,10.55,180915.0,93866.0,87049.0,6.51,2256317.0,1109909.0,1146408.0,81.19,350448.0,163450.0,186998.0,12.61
臺灣省,7156590.0,3656660.0,3499930.0,292522.0,151976.0,140546.0,4.09,399471.0,207841.0,191630.0,5.58,718353.0,375158.0,343195.0,10.04,790250.0,412997.0,377253.0,11.04,497467.0,260725.0,236742.0,6.95,5737479.0,2914596.0,2822883.0,80.17,1010962.0,468274.0,542688.0,14.13
宜蘭縣,458117.0,232217.0,225900.0,17557.0,9175.0,8382.0,3.83,24361.0,12669.0,11692.0,5.32,43899.0,22801.0,21098.0,9.58,48369.0,25125.0,23244.0,10.56,31175.0,16261.0,14914.0,6.81,369556.0,186028.0,183528.0,80.67,65178.0,30437.0,34741.0,14.23
新竹縣,542042.0,277417.0,264625.0,30272.0,15592.0,14680.0,5.58,41728.0,21622.0,20106.0,7.7,72334.0,37693.0,34641.0,13.34,78480.0,40883.0,37597.0,14.48,40737.0,21388.0,19349.0,7.52,413232.0,210052.0,203180.0,76.24,61960.0,29889.0,32071.0,11.43
苗栗縣,563912.0,290726.0,273186.0,27213.0,14067.0,13146.0,4.83,35769.0,18532.0,17237.0,6.34,61324.0,32029.0,29295.0,10.87,66854.0,35009.0,31845.0,11.86,38071.0,20155.0,17916.0,6.75,448846.0,230425.0,218421.0,79.6,80544.0,38359.0,42185.0,14.28
彰化縣,1289072.0,658561.0,630511.0,57386.0,29775.0,27611.0,4.45,76851.0,39992.0,36859.0,5.96,135801.0,70967.0,64834.0,10.53,149338.0,78141.0,71197.0,11.58,92564.0,48638.0,43926.0,7.18,1023730.0,519585.0,504145.0,79.42,175785.0,80741.0,95044.0,13.64
南投縣,509490.0,261379.0,248111.0,17400.0,9016.0,8384.0,3.42,24037.0,12475.0,11562.0,4.72,44980.0,23309.0,21671.0,8.83,49768.0,25804.0,23964.0,9.77,34646.0,18092.0,16554.0,6.8,415369.0,212580.0,202789.0,81.53,77509.0,36281.0,41228.0,15.21
雲林縣,699633.0,363832.0,335801.0,25425.0,13190.0,12235.0,3.63,35021.0,18234.0,16787.0,5.01,65121.0,34162.0,30959.0,9.31,72306.0,37985.0,34321.0,10.33,48750.0,25636.0,23114.0,6.97,566711.0,293950.0,272761.0,81.0,115214.0,52128.0,63086.0,16.47
嘉義縣,519839.0,270681.0,249158.0,15570.0,8137.0,7433.0,3.0,21418.0,11225.0,10193.0,4.12,40477.0,21183.0,19294.0,7.79,45099.0,23590.0,21509.0,8.68,33840.0,17778.0,16062.0,6.51,431269.0,224267.0,207002.0,82.96,89843.0,40753.0,49090.0,17.28
屏東縣,841253.0,430925.0,410328.0,27533.0,14366.0,13167.0,3.27,38070.0,19883.0,18187.0,4.53,71654.0,37528.0,34126.0,8.52,79522.0,41591.0,37931.0,9.45,55459.0,28848.0,26611.0,6.59,689836.0,351756.0,338080.0,82.0,121896.0,57566.0,64330.0,14.49
臺東縣,222452.0,115174.0,107278.0,8402.0,4339.0,4063.0,3.78,11591.0,5984.0,5607.0,5.21,21215.0,11086.0,10129.0,9.54,23380.0,12235.0,11145.0,10.51,15193.0,7906.0,7287.0,6.83,179768.0,92974.0,86794.0,80.81,32084.0,14897.0,17187.0,14.42
花蓮縣,331945.0,169335.0,162610.0,13219.0,6941.0,6278.0,3.98,18076.0,9494.0,8582.0,5.45,31965.0,16757.0,15208.0,9.63,35123.0,18425.0,16698.0,10.58,22235.0,11688.0,10547.0,6.7,268270.0,135981.0,132289.0,80.82,46701.0,21852.0,24849.0,14.07
澎湖縣,102304.0,52769.0,49535.0,4260.0,2241.0,2019.0,4.16,5465.0,2845.0,2620.0,5.34,8991.0,4678.0,4313.0,8.79,9854.0,5158.0,4696.0,9.63,5907.0,3130.0,2777.0,5.77,84200.0,43266.0,40934.0,82.3,15108.0,6987.0,8121.0,14.77
基隆市,372105.0,186942.0,185163.0,11199.0,5832.0,5367.0,3.01,15935.0,8259.0,7676.0,4.28,30510.0,15867.0,14643.0,8.2,33802.0,17641.0,16161.0,9.08,24411.0,12740.0,11671.0,6.56,306771.0,152833.0,153938.0,82.44,49134.0,22508.0,26626.0,13.2
