年份,縣市,總計人口,65歲以上人口,高齡化比例
2015,新北市,3970644,429175,10.81
2015,臺北市,2704810,399182,14.76
2015,桃園市,2105780,203630,9.67
2015,臺中市,2744445,282316,10.29
2015,臺南市,1885541,246794,13.09
2015,高雄市,2778918,350448,12.61
2015,宜蘭縣,458117,65178,14.23
2015,新竹縣,542042,61960,11.43
2015,苗栗縣,563912,80544,14.28
2015,彰化縣,1289072,175785,13.64
2015,南投縣,509490,77509,15.21
2015,雲林縣,699633,115214,16.47
2015,嘉義縣,519839,89843,17.28
2015,屏東縣,841253,121896,14.49
2015,臺東縣,222452,32084,14.42
2015,花蓮縣,331945,46701,14.07
2015,澎湖縣,102304,15108,14.77
2015,基隆市,372105,49134,13.2
2015,新竹市,434060,45572,10.5
2015,嘉義市,270366,34434,12.74
2015,金門縣,132799,14841,11.18
2015,連江縣,12547,1231,9.81
2016,新北市,3979208,465909,11.71
2016,臺北市,2695704,419130,15.55
2016,桃園市,2147763,219425,10.22
2016,臺中市,2767239,301904,10.91
2016,臺南市,1886033,259701,13.77
2016,高雄市,2779371,373604,13.44
2016,宜蘭縣,457538,67808,14.82
2016,新竹縣,547481,64040,11.7
2016,苗栗縣,559189,82771,14.8
2016,彰化縣,1287146,182962,14.21
2016,南投縣,505163,80135,15.86
2016,雲林縣,694873,118764,17.09
2016,嘉義縣,515320,92234,17.9
2016,屏東縣,835792,127016,15.2
2016,臺東縣,220802,33060,14.97
2016,花蓮縣,330911,48649,14.7
2016,澎湖縣,103263,15579,15.09
2016,基隆市,372100,51949,13.96
2016,新竹市,437337,48141,11.01
2016,嘉義市,269874,36268,13.44
2016,金門縣,135114,15769,11.67
2016,連江縣,12595,1287,10.22
2017,新北市,3986689,502397,12.6
2017,臺北市,2683257,439176,16.37
2017,桃園市,2188017,236004,10.79
2017,臺中市,2787070,320581,11.5
2017,臺南市,1886522,271315,14.38
2017,高雄市,2776912,394861,14.22
2017,宜蘭縣,456607,70025,15.34
2017,新竹縣,552169,66180,11.99
2017,苗栗縣,553807,85361,15.41
2017,彰化縣,1282458,189499,14.78
2017,南投縣,501051,82780,16.52
2017,雲林縣,690373,121190,17.55
2017,嘉義縣,511182,94384,18.46
2017,屏東縣,829939,131347,15.83
2017,臺東縣,219540,34158,15.56
2017,花蓮縣,329237,50472,15.33
2017,澎湖縣,104073,16170,15.54
2017,基隆市,371458,55025,14.81
2017,新竹市,441132,50756,11.51
2017,嘉義市,269398,38140,14.16
2017,金門縣,137456,16831,12.24
2017,連江縣,12880,1361,10.57
2018,新北市,3995717,539705,13.51
2018,臺北市,2668572,458635,17.19
2018,桃園市,2220872,253213,11.4
2018,臺中市,2803894,340852,12.16
2018,臺南市,1883831,283254,15.04
2018,高雄市,2773533,416436,15.01
2018,宜蘭縣,455221,72644,15.96
2018,新竹縣,557010,68516,12.3
2018,苗栗縣,548863,87689,15.98
2018,彰化縣,1277824,196103,15.35
2018,南投縣,497031,85365,17.17
2018,雲林縣,686022,123577,18.01
2018,嘉義縣,507068,96666,19.06
2018,屏東縣,825406,136270,16.51
2018,臺東縣,218919,35258,16.11
2018,花蓮縣,327968,52164,15.91
2018,澎湖縣,104440,16735,16.02
2018,基隆市,370155,57998,15.67
2018,新竹市,445635,53428,11.99
2018,嘉義市,268622,39737,14.79
2018,金門縣,139273,17805,12.78
2018,連江縣,13056,1467,11.24
2019,新北市,4018696,578511,14.4
2019,臺北市,2645041,477944,18.07
2019,桃園市,2249037,272348,12.11
2019,臺中市,2815261,362249,12.87
2019,臺南市,1880906,295947,15.73
2019,高雄市,2773198,438452,15.81
2019,宜蘭縣,454178,75171,16.55
2019,新竹縣,563933,71051,12.6
2019,苗栗縣,545459,90378,16.57
2019,彰化縣,1272802,203216,15.97
2019,南投縣,494112,88253,17.86
